N_trial;name;N_shapes;target_presence;is_training;is_flashing;is_focus_frame;is_symbols;is_conj;is_structure;is_clue;target_shape;target_colour;target_angle;target_rules;distr_rules;D1_shape;D1_colour;D1_angle;target_location;target_coordinates
10;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_10.png;25;True;False;False;False;True;True;True;False;ᱤ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ᱩ;(0, 0, 0);0;8;(1098, 403)
11;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_11.png;25;False;False;False;False;True;True;True;False;ᱶ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ᱶ;(0, 0, 0);0;False;(807, 541)
12;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_12.png;25;True;False;False;False;True;True;True;False;ᱤ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ᱚ;(0, 0, 0);0;20;(682, 810)
13;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_13.png;25;True;False;False;False;True;True;True;False;ࡌ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ࡒ;(0, 0, 0);0;14;(1246, 543)
14;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_14.png;25;True;False;False;False;True;True;True;False;ᱱ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ᱷ;(0, 0, 0);0;21;(828, 809)
15;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_15.png;25;True;False;False;False;True;True;True;False;ᱨ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ᱷ;(0, 0, 0);0;9;(1240, 402)
16;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_16.png;25;True;False;False;False;True;True;True;False;ᱚ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ᱤ;(0, 0, 0);0;15;(681, 667)
17;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_17.png;25;True;False;False;False;True;True;True;False;ࡖ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ࡐ;(0, 0, 0);0;16;(824, 670)
18;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_18.png;25;True;False;False;False;True;True;True;False;ᱱ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ᱷ;(0, 0, 0);0;5;(696, 396)
19;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_19.png;25;True;False;False;False;True;True;True;False;ࡁ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ࡖ;(0, 0, 0);0;12;(954, 542)
20;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_20.png;25;True;False;False;False;True;True;True;False;ࡌ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ࡑ;(0, 0, 0);0;23;(1097, 798)
21;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_21.png;25;True;False;False;False;True;True;True;False;ࡕ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ࡒ;(0, 0, 0);0;19;(1216, 684)
22;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_22.png;25;True;False;False;False;True;True;True;False;ࡑ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ࡐ;(0, 0, 0);0;11;(824, 553)
23;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_23.png;25;True;False;False;False;True;True;True;False;ᱟ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ᱨ;(0, 0, 0);0;12;(959, 543)
24;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_24.png;25;True;False;False;False;True;True;True;False;ࡁ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ࡖ;(0, 0, 0);0;20;(698, 803)
25;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_25.png;25;True;False;False;False;True;True;True;False;ᱨ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ᱶ;(0, 0, 0);0;3;(1087, 283)
26;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_26.png;25;True;False;False;False;True;True;True;False;ࡒ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ࡌ;(0, 0, 0);0;20;(693, 818)
27;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_27.png;25;True;False;False;False;True;True;True;False;ࡕ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ࡑ;(0, 0, 0);0;6;(809, 401)
28;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_28.png;25;True;False;False;False;True;True;True;False;ᱟ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ᱨ;(0, 0, 0);0;13;(1092, 539)
29;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_29.png;25;False;False;False;False;True;True;True;False;ࡏ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ࡏ;(0, 0, 0);0;False;(1097, 399)
30;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_30.png;25;True;False;False;False;True;True;True;False;ࡌ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ࡁ;(0, 0, 0);0;15;(689, 669)
31;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_31.png;25;True;False;False;False;True;True;True;False;ᱷ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ᱱ;(0, 0, 0);0;2;(949, 276)
32;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_32.png;25;True;False;False;False;True;True;True;False;ᱣ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ᱨ;(0, 0, 0);0;1;(832, 259)
33;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_33.png;25;True;False;False;False;True;True;True;False;ࡁ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ࡒ;(0, 0, 0);0;2;(959, 255)
34;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_34.png;25;False;False;False;False;True;True;True;False;ᱱ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ᱱ;(0, 0, 0);0;False;(817, 821)
35;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_35.png;25;True;False;False;False;True;True;True;False;ࡖ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ࡒ;(0, 0, 0);0;22;(958, 801)
36;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_36.png;25;True;False;False;False;True;True;True;False;ࡒ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ࡑ;(0, 0, 0);0;21;(833, 816)
37;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_37.png;25;False;False;False;False;True;True;True;False;ᱨ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ᱨ;(0, 0, 0);0;False;(1110, 797)
38;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_38.png;25;True;False;False;False;True;True;True;False;ᱶ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ᱣ;(0, 0, 0);0;20;(694, 828)
39;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_39.png;25;True;False;False;False;True;True;True;False;ࡕ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ࡒ;(0, 0, 0);0;3;(1083, 275)
40;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_40.png;25;True;False;False;False;True;True;True;False;ࡐ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ࡏ;(0, 0, 0);0;13;(1087, 534)
41;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_41.png;25;True;False;False;False;True;True;True;False;ࡐ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ࡑ;(0, 0, 0);0;21;(844, 813)
42;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_42.png;25;True;False;False;False;True;True;True;False;ᱶ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ᱨ;(0, 0, 0);0;7;(958, 413)
43;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_43.png;25;True;False;False;False;True;True;True;False;ᱚ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ᱶ;(0, 0, 0);0;16;(817, 671)
44;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_44.png;25;True;False;False;False;True;True;True;False;ࡁ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ࡊ;(0, 0, 0);0;0;(687, 272)
45;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_45.png;25;True;False;False;False;True;True;True;False;ࡁ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ࡐ;(0, 0, 0);0;4;(1234, 261)
46;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_46.png;25;True;False;False;False;True;True;True;False;ࡊ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ࡑ;(0, 0, 0);0;7;(960, 404)
47;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_47.png;25;True;False;False;False;True;True;True;False;ࡌ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ࡁ;(0, 0, 0);0;12;(974, 536)
48;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_48.png;25;True;False;False;False;True;True;True;False;ࡁ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ࡖ;(0, 0, 0);0;11;(833, 527)
49;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_49.png;25;False;False;False;False;True;True;True;False;ࡁ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ࡁ;(0, 0, 0);0;False;(819, 265)
50;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_50.png;25;True;False;False;False;True;True;True;False;ᱶ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ᱤ;(0, 0, 0);0;4;(1231, 267)
